품목명,보관,도매시세_raw,원산지,도매시세
갈비살/늑간살-미국 | IBP(245L),냉동,"24,580 원  -",미국,24580
갈비살/늑간살-미국 | 엑셀(ESA/앵거스)(86K(EXCEL/ESA)),냉동,"22,340 원  -",미국,22340
갈비살/늑간살-미국 | 오마하(960A),냉동,"21,320 원  -",미국,21320
갈비살/늑간살-미국 | 샘케인/STX(337),냉동,"20,520 원  -",미국,20520
갈비살/늑간살-미국 | 뎀코타(45471),냉동,"20,510 원  -",미국,20510
갈비살/늑간살-미국 | 샘케인/STX(337),냉동,"20,170 원  -",미국,20170
갈비살/늑간살-미국 | 크릭스톤(27),냉동,"20,170 원  -",미국,20170
갈비살/늑간살-미국 | 브롤리비프(21488),냉동,"19,240 원  -",미국,19240
갈비살/늑간살-호주 | GREENSTOCK/울워스(249),냉동,"18,790 원  -",호주,18790
갈비살/늑간살-미국 | IBP(245L),냉동,"24,580 원  -",미국,24580
갈비살/늑간살-미국 | 엑셀(ESA/앵거스)(86K(EXCEL/ESA)),냉동,"22,340 원  -",미국,22340
갈비살/늑간살-미국 | 오마하(960A),냉동,"21,320 원  -",미국,21320
갈비살/늑간살-미국 | 샘케인/STX(337),냉동,"20,520 원  -",미국,20520
갈비살/늑간살-미국 | 뎀코타(45471),냉동,"20,510 원  -",미국,20510
갈비살/늑간살-미국 | 샘케인/STX(337),냉동,"20,170 원  -",미국,20170
갈비살/늑간살-미국 | 크릭스톤(27),냉동,"20,170 원  -",미국,20170
갈비살/늑간살-미국 | 브롤리비프(21488),냉동,"19,240 원  -",미국,19240
갈비살/늑간살-호주 | GREENSTOCK/울워스(249),냉동,"18,790 원  -",호주,18790
갈비살/늑간살-미국 | 오로라 앵거스 비프(788),냉동,"18,240 원  -",미국,18240
곱창-호주 | 티스(291),냉동,"4,520 원  -",호주,4520
곱창-호주 | 티스,냉동,"4,520 원  ▼ 20 ( -0.4%)",호주,4520
곱창-호주 | 티스,냉동,"3,030 원  ▼ 30 ( -1.0%)",호주,3030
곱창-호주 | 킬코이(640),냉동,"2,880 원  -",호주,2880
꼬리-호주 | AMH(235),냉동,"20,540 원  -",호주,20540
대창-호주 | 티스,냉동,"2,770 원  ▼ 20 ( -0.7%)",호주,2770
뒷사태-호주 | 킬코이(640),냉동,"11,090 원  ▲ 30 (+0.3%)",호주,11090
등갈비/백립-미국 | 엑셀(PSA/앵거스)(86R),냉동,"13,270 원  -",미국,13270
등갈비/백립-호주 | 킬코이(640),냉동,"12,980 원  ▲ 80 (+0.6%)",호주,12980
등갈비/백립-호주 | 티스(291),냉동,"12,110 원  -",호주,12110
등갈비/백립-호주 | AMH(170),냉동,"11,920 원  -",호주,11920
등갈비/백립-미국 | 뎀코타(45471),냉동,"11,770 원  -",미국,11770
등갈비/백립-미국 | 뎀코타,냉동,"11,740 원  ▲ 20 (+0.2%)",미국,11740
등갈비/백립-호주 | AMH(235),냉동,"11,000 원  -",호주,11000
등갈비/백립-미국 | IBP(245C),냉동,"10,580 원  -",미국,10580
등갈비/백립-미국 | 샘케인/STX(337),냉동,"10,260 원  -",미국,10260
등갈비/백립-미국 | 엑셀(86K),냉동,"9,140 원  -",미국,9140
등갈비/백립-미국 | 쇼케이스(562M),냉동,"8,860 원  -",미국,8860
등갈비/백립-미국 | 크릭스톤(27),냉동,"8,790 원  -",미국,8790
등갈비/백립-미국 | 스위프트(969),냉동,"8,580 원  ▼ 120 ( -1.4%)",미국,8580
등갈비/백립-미국 | IBP(278),냉동,"8,330 원  -",미국,8330
등갈비/백립-호주 | 토마스,냉동,"8,210 원  -",호주,8210
등갈비/백립-미국 | 브롤리비프(21488),냉동,"7,760 원  -",미국,7760
등갈비/백립(#2스펙)-미국 | 엑셀(86K),냉동,"7,960 원  -",미국,7960
등갈비/백립(#2스펙)-미국 | 엑셀(86E),냉동,"7,900 원  -",미국,7900
등갈비/백립(#2스펙)-미국 | 엑셀(86R),냉동,"7,240 원  -",미국,7240
등갈비/백립(#2스펙)-미국 | 엑셀(86M),냉동,"7,220 원  -",미국,7220
목뼈-호주 | 킬코이(640),냉동,"4,310 원  -",호주,4310
목뼈-미국 | 엑셀(86R),냉동,"3,820 원  -",미국,3820
목뼈-호주 | 놀란(80),냉동,"3,700 원  -",호주,3700
목뼈-호주 | 토마스,냉동,"3,340 원  -",호주,3340
목심-호주 | 티스(7),냉동,"15,960 원  -",호주,15960
목심-호주 | 하비(648),냉동,"15,200 원  -",호주,15200
목심-호주 | 그린햄(234),냉동,"14,860 원  -",호주,14860
목심-호주 | 그린햄(716),냉동,"14,830 원  -",호주,14830
목심-호주 | 그린햄(205),냉동,"14,830 원  -",호주,14830
목심-호주 | 놀란(80),냉동,"14,010 원  -",호주,14010
목심-호주 | TBS,냉동,"7,570 원  -",호주,7570
백립(조각백립)-미국 | 스위프트(969),냉동,"8,680 원  -",미국,8680
백립(조각백립)-미국 | 크릭스톤(27),냉동,"7,310 원  ▼ 1,940 ( -21.0%)",미국,7310
부채살-미국 | 쇼케이스(562),냉동,"20,100 원  -",미국,20100
부채살-미국 | 엑셀(86E),냉동,"19,570 원  ▼ 560 ( -2.8%)",미국,19570
뽈살-호주 | 킬코이(640),냉동,"10,560 원  ▼ 430 ( -3.9%)",호주,10560
뽈살-호주 | AMH(4),냉동,"9,780 원  -",호주,9780
사골(뒷왕사골)-미국 | 오마하(960A),냉동,"2,750 원  ▲ 280 (+11.3%)",미국,2750
사골(뒷왕사골)-호주 | 킬코이(640),냉동,"2,700 원  ▲ 320 (+13.4%)",호주,2700
사골(앞왕사골)-호주 | 킬코이(640),냉동,"2,380 원  -",호주,2380
삼겹양지-호주 | 킬코이(640),냉동,"10,070 원  -",호주,10070
삼겹양지-호주 | AMH(235),냉동,"9,710 원  -",호주,9710
삼겹양지-미국 | 엑셀(86K),냉동,"9,560 원  -",미국,9560
삼겹양지-미국 | IBP(278),냉동,"8,970 원  -",미국,8970
삼겹양지-미국 | 엑셀(86M),냉동,"8,950 원  ▼ 110 ( -1.2%)",미국,8950
삼겹양지-미국 | 엑셀(86E),냉동,"8,860 원  -",미국,8860
삼겹양지-미국 | IBP,냉동,"8,580 원  -",미국,8580
삼겹양지-미국 | 크릭스톤(27),냉동,"8,530 원  ▲ 20 (+0.2%)",미국,8530
삼겹양지-미국 | NB(19336),냉동,"8,510 원  ▲ 180 (+2.2%)",미국,8510
삼겹양지-미국 | 샘케인/STX(337),냉동,"8,420 원  ▼ 390 ( -4.4%)",미국,8420
삼겹양지-미국 | 스위프트(969),냉동,"8,380 원  -",미국,8380
삼겹양지-미국 | 스위프트(969G),냉동,"8,380 원  -",미국,8380
설깃-호주 | 킬코이(640),냉동,"13,300 원  ▲ 190 (+1.4%)",호주,13300
설도-호주 | 킬코이(640),냉동,"14,400 원  -",호주,14400
설도-호주 | AMH(170),냉동,"14,320 원  -",호주,14320
설도-미국 | IBP,냉동,"13,770 원  -",미국,13770
센터컷-미국 | 엑셀(ESA/앵거스)(86K(EXCEL/ESA)),냉동,"10,720 원  -",미국,10720
센터컷-미국 | 엑셀(86K),냉동,"10,720 원  -",미국,10720
스지-미국 | 스위프트(969),냉동,"8,720 원  -",미국,8720
스지-미국 | 스위프트(969G),냉동,"8,700 원  -",미국,8700
스지-미국 | 엑셀(86K),냉동,"8,680 원  -",미국,8680
스지-미국 | 엑셀(86E),냉동,"8,060 원  -",미국,8060
스지-호주 | AMH(170),냉동,"7,760 원  -",호주,7760
스지-미국 | 크릭스톤(27),냉동,"7,480 원  -",미국,7480
스지-호주 | JBS,냉동,"6,000 원  -",호주,6000
스페어립-호주 | 킬코이(640),냉동,"9,610 원  -",호주,9610
스페어립-호주 | 토마스,냉동,"8,690 원  -",호주,8690
스페어립-호주 | 토마스,냉동,"8,480 원  -",호주,8480
스페어립-호주 | 놀란(80),냉동,"7,660 원  -",호주,7660
아롱사태-미국 | 샘케인/STX(337),냉동,"17,130 원  -",미국,17130
아롱사태-미국 | 엑셀(86M),냉동,"16,500 원  ▲ 190 (+1.2%)",미국,16500
아롱사태-미국 | 엑셀(86E),냉동,"16,440 원  -",미국,16440
안심-호주 | 그린다이아몬드,냉동,"30,320 원  -",호주,30320
알목심-미국 | 쇼케이스(562),냉동,"21,600 원  -",미국,21600
알목심-미국 | 쇼케이스(562M),냉동,"21,420 원  -",미국,21420
알목심-미국 | 엑셀(86M),냉동,"17,330 원  -",미국,17330
알목심-미국 | 엑셀(86R),냉동,"17,270 원  -",미국,17270
알목심-미국 | 엑셀(86K),냉동,"17,270 원  ▼ 90 ( -0.5%)",미국,17270
알목심-미국 | NB(19336),냉동,"16,250 원  -",미국,16250
알목심-호주 | 킬코이(640),냉동,"15,710 원  -",호주,15710
알전각/볼라전각-미국 | 엑셀(86R),냉동,"14,040 원  -",미국,14040
알전각/볼라전각-미국 | 엑셀(86K),냉동,"13,950 원  -",미국,13950
알전각/볼라전각-호주 | 킬코이(640),냉동,"13,760 원  -",호주,13760
알전각/볼라전각-호주 | 티스(7),냉동,"13,460 원  -",호주,13460
알전각/볼라전각-호주 | 티스(291),냉동,"13,360 원  -",호주,13360
앞/척갈비-미국 | 엑셀(86M),냉동,"15,520 원  -",미국,15520
앞/척갈비-미국 | 엑셀(86R),냉동,"14,040 원  -",미국,14040
앞/척갈비-미국 | 엑셀(86E),냉동,"13,800 원  -",미국,13800
앞/척갈비-호주 | 토마스,냉동,"12,380 원  -",호주,12380
앞/척갈비-호주 | 놀란(80),냉동,"11,990 원  -",호주,11990
앞/척갈비-호주 | 티스(7),냉동,"11,910 원  -",호주,11910
앞다리/전각-호주 | 킬코이,냉동,"12,630 원  -",호주,12630
앞다리/전각-호주 | 놀란(80),냉동,"12,260 원  -",호주,12260
앞사태-호주 | 킬코이(640),냉동,"11,140 원  -",호주,11140
양(깐양)-호주 | 티스(294),냉동,"5,770 원  -",호주,5770
양(깐양)-호주 | 티스(423),냉동,"5,580 원  ▲ 90 (+1.6%)",호주,5580
양(깐양)-호주 | 티스(7),냉동,"5,550 원  -",호주,5550
양(깐양)-호주 | 오키(558),냉동,"3,880 원  -",호주,3880
양지갈비-호주 | 킬코이(640),냉동,"8,030 원  -",호주,8030
일반갈비-호주 | 놀란(80),냉동,"12,450 원  -",호주,12450
차돌박이-미국 | 샘케인/STX(337),냉동,"17,500 원  -",미국,17500
차돌박이-미국 | 스위프트(969),냉동,"15,570 원  ▲ 1,160 (+8.0%)",미국,15570
차돌박이-미국 | 스위프트(3D),냉동,"14,420 원  -",미국,14420
차돌박이-미국 | 엑셀(86E),냉동,"13,510 원  -",미국,13510
차돌양지-호주 | 오키(558),냉동,"14,230 원  -",호주,14230
차돌양지-호주 | 킬코이,냉동,"14,180 원  -",호주,14180
차돌양지-호주 | 킬코이(640),냉동,"13,810 원  -",호주,13810
차돌양지-미국 | 엑셀(86E),냉동,"13,580 원  -",미국,13580
차돌양지-미국 | 엑셀(86K),냉동,"13,460 원  -",미국,13460
차돌양지-미국 | 엑셀(86M),냉동,"13,300 원  -",미국,13300
차돌양지-호주 | 오키(558),냉동,"13,300 원  -",호주,13300
차돌양지-호주 | 놀란(80),냉동,"13,270 원  -",호주,13270
차돌양지-호주 | 티스(7),냉동,"13,120 원  -",호주,13120
차돌양지-호주 | 그린햄(234),냉동,"12,270 원  -",호주,12270
차돌양지-호주 | 그린햄(205),냉동,"12,270 원  -",호주,12270
차돌양지-호주 | AMH(235),냉동,"12,240 원  -",호주,12240
차돌양지-호주 | 랄프,냉동,"12,110 원  -",호주,12110
차돌양지-호주 | 그린햄(205),냉동,"11,690 원  ▼ 30 ( -0.3%)",호주,11690
차돌양지-호주 | 그린햄(234),냉동,"11,690 원  -",호주,11690
차돌양지-호주 | 그린햄(716),냉동,"11,690 원  -",호주,11690
차돌양지-호주 | 그린햄(716),냉동,"11,530 원  -",호주,11530
척리블렛-미국 | NBP(262),냉동,"9,590 원  -",미국,9590
학본-미국 | 오마하(960A),냉동,"2,250 원  -",미국,2250
홍두깨-호주 | 킬코이(640),냉동,"16,480 원  -",호주,16480
홍두깨-호주 | TBS,냉동,"15,520 원  -",호주,15520
홍두깨-호주 | 오키(558),냉동,"15,480 원  -",호주,15480
홍두깨-호주 | 놀란(80),냉동,"15,390 원  -",호주,15390
홍창/소막창-미국 | 엑셀(86R),냉동,"7,390 원  -",미국,7390
홍창/소막창-미국 | 엑셀(86M),냉동,"6,300 원  -",미국,6300
홍창/소막창-미국 | 스위프트(969G),냉동,"6,210 원  -",미국,6210
황제늑간-미국 | 트루웨스트,냉동,"19,250 원  -",미국,19250
황제늑간-미국 | IBP(245L),냉동,"16,490 원  -",미국,16490
황제늑간-미국 | 뎀코타(45471),냉동,"15,780 원  -",미국,15780
황제늑간-미국 | 엑셀(86R),냉동,"15,420 원  -",미국,15420
BBQ등갈비-미국 | 오마하(960A),냉동,"12,380 원  -",미국,12380
BBQ등갈비-미국 | 엑셀(86R),냉동,"11,180 원  -",미국,11180
BBQ등갈비-미국 | 위리저브(27472),냉동,"10,540 원  -",미국,10540
LA갈비-미국 | 크릭스톤(27),냉동,"22,500 원  -",미국,22500
LA갈비-미국 | 엑셀(RRA/앵거스)(86R),냉동,"22,470 원  -",미국,22470
LA갈비-미국 | NBP(208A),냉동,"21,600 원  -",미국,21600
LA갈비-미국 | 아이오와 프리미엄비프(8),냉동,"21,090 원  -",미국,21090
LA갈비-미국 | 스위프트(3D),냉동,"21,090 원  -",미국,21090
LA갈비-미국 | NBP(208A),냉동,"21,000 원  -",미국,21000
LA갈비-미국 | 엑셀(86M),냉동,"20,940 원  -",미국,20940
LA갈비-미국 | IBP(278),냉동,"20,900 원  -",미국,20900
LA갈비-미국 | IBP(245E),냉동,"20,490 원  -",미국,20490
LA갈비-미국 | IBP(245E),냉동,"20,440 원  -",미국,20440
LA갈비-미국 | IBP(278),냉동,"20,080 원  -",미국,20080
LA갈비-미국 | 스위프트(3D),냉동,"19,480 원  ▼ 90 ( -0.5%)",미국,19480
LA갈비-미국 | 엑셀(86E),냉동,"19,300 원  -",미국,19300
LA갈비-미국 | 엑셀(86M),냉동,"18,460 원  -",미국,18460
LA갈비-미국 | 엑셀(86K),냉동,"18,260 원  -",미국,18260
LA갈비-미국 | 엑셀(86E),냉동,"18,190 원  -",미국,18190
LA갈비-미국 | 샘케인/STX(337),냉동,"18,050 원  -",미국,18050
